iso3c,year,Ratio.RMC.to.market.XR,country,military_spending,type,military_spending_PPP,change_nominal,change_nominal_percent,change_PPP,change_PPP_percent,nato
MAR,1949,NA,Morocco,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
MAR,1949,NA,Morocco,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
MDA,1949,NA,Moldova,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
MDA,1949,NA,Moldova,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
MDG,1949,NA,Madagascar,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
MDG,1949,NA,Madagascar,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
MEX,1949,NA,Mexico,34.79768786127168,Current USD (m),NA,NA,NA,NA,NA,FALSE
MEX,1949,NA,Mexico,386.92493626982815,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
MKD,1949,NA,North Macedonia,NA,Current USD (m),NA,NA,NA,NA,NA,TRUE
MKD,1949,NA,North Macedonia,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
MLI,1949,NA,Mali,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
MLI,1949,NA,Mali,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
MLT,1949,NA,Malta,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
MLT,1949,NA,Malta,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
MMR,1949,NA,Myanmar,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
MMR,1949,NA,Myanmar,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
MNE,1949,NA,Montenegro,NA,Current USD (m),NA,NA,NA,NA,NA,TRUE
MNE,1949,NA,Montenegro,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
MNG,1949,NA,Mongolia,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
MNG,1949,NA,Mongolia,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
MOZ,1949,NA,Mozambique,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
MOZ,1949,NA,Mozambique,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
MRT,1949,NA,Mauritania,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
MRT,1949,NA,Mauritania,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
MUS,1949,NA,Mauritius,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
MUS,1949,NA,Mauritius,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
MWI,1949,NA,Malawi,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
MWI,1949,NA,Malawi,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
MYS,1949,NA,Malaysia,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
MYS,1949,NA,Malaysia,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
NAM,1949,NA,Namibia,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
NAM,1949,NA,Namibia,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
NER,1949,NA,Niger,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
